GET http://localhost:4200/core/ name=core type=dir linked=maybe browsers=6 browser_used=FAST dup=0 returns_404 code=404 len=144 notes=1 sig=0x5ad1fb2f
GET http://localhost:4200/core/@angular/ name=@angular type=dir linked=maybe browsers=6 browser_used=FAST dup=0 returns_404 code=404 len=153 notes=1 sig=0x9d1cf76b
GET http://localhost:4200/core/@angular/core.es5.js name=core.es5.js type=unknown linked=maybe browsers=0 browser_used=FAST dup=1 returns_404 code=404 len=164 notes=0 sig=0xffdfffff
GET http://localhost:4200/core/ name=core type=dir linked=yes browsers=4 browser_used=FFOX dup=0 returns_404 code=404 len=144 notes=1 sig=0x5ad1fb2c
GET http://localhost:4200/core/@angular/ name=@angular type=dir linked=yes browsers=4 browser_used=FFOX dup=1 returns_404 code=404 len=153 notes=1 sig=0x9ce2774a
GET http://localhost:4200/core/ name=core type=dir linked=yes browsers=2 browser_used=PHONE dup=1 returns_404 code=404 len=144 notes=1 sig=0x5ad1fb2c
GET http://localhost:4200/core/@angular/ name=@angular type=dir linked=yes browsers=2 browser_used=PHONE dup=1 returns_404 code=404 len=153 notes=1 sig=0x9ce2774a
GET http://localhost:4200/core-js/ name=core-js type=dir linked=maybe browsers=6 browser_used=FAST dup=0 returns_404 code=404 len=147 notes=1 sig=0xb7a8a586
GET http://localhost:4200/core-js/es7/ name=es7 type=dir linked=maybe browsers=6 browser_used=FAST dup=0 returns_404 code=404 len=151 notes=1 sig=0x294e1c31
GET http://localhost:4200/core-js/es7/reflect.js name=reflect.js type=unknown linked=maybe browsers=0 browser_used=FAST dup=1 returns_404 code=404 len=161 notes=0 sig=0xffdfffff
GET http://localhost:4200/core-js/modules/ name=modules type=dir linked=maybe browsers=6 browser_used=FAST dup=0 returns_404 code=404 len=155 notes=1 sig=0xc707348f
GET http://localhost:4200/core-js/modules/_a-function.js name=_a-function.js type=unknown linked=maybe browsers=0 browser_used=FAST dup=1 returns_404 code=404 len=169 notes=0 sig=0xffdfffff
GET http://localhost:4200/core-js/modules/_an-instance.js name=_an-instance.js type=unknown linked=maybe browsers=0 browser_used=FAST dup=1 returns_404 code=404 len=170 notes=0 sig=0xffdfffff
